"week","sales","storeid"
"2017-08-21","29.740000000000002","2"
"2017-08-28","88.23","2"
"2017-09-04","90.36","2"
"2017-09-11","90.0","2"
"2017-09-18","77.0","2"
"2017-09-25","96.0","2"
"2017-10-02","98.0","2"
"2017-10-09","94.0","2"
"2017-10-16","91.0","2"
"2017-10-23","101.0","2"
"2017-10-30","82.0","2"
"2017-11-06","49.0","2"
"2017-11-13","50.0","2"
"2017-11-20","55.78999999999999","2"
"2017-11-27","45.78","2"
"2017-12-04","47.82","2"
"2017-12-11","51.83","2"
"2017-12-18","46.76","2"
"2017-12-25","16.91","2"
"2018-01-01","47.0","2"
"2018-01-08","41.0","2"
"2018-01-15","36.0","2"
"2018-01-22","53.0","2"
"2018-01-29","50.0","2"
"2018-02-05","44.0","2"
"2018-02-12","42.0","2"
"2018-02-19","38.88999999999999","2"
"2018-02-26","34.85","2"
"2018-03-05","49.83","2"
"2018-03-12","38.87","2"
"2018-03-19","39.85","2"
"2018-03-26","45.849999999999994","2"
"2018-04-02","31.909999999999997","2"
"2018-04-09","40.980000000000004","2"
"2018-04-16","44.0","2"
"2018-04-23","45.0","2"
"2018-04-30","41.0","2"
"2018-05-07","28.0","2"
"2018-05-14","36.0","2"
"2018-05-21","42.0","2"
"2018-05-28","43.0","2"
"2018-06-04","44.0","2"
"2018-06-11","50.0","2"
"2018-06-18","108.0","2"
"2018-06-25","57.0","2"
"2018-07-02","60.0","2"
"2018-07-09","56.0","2"
"2018-07-16","77.42999999999999","2"
"2018-07-23","103.03","2"
"2018-07-30","64.63999999999999","2"
"2018-08-06","40.26","2"
"2018-08-13","61.28","2"
"2018-08-20","60.769999999999996","2"
"2018-08-27","53.76","2"
"2018-09-03","76.60000000000001","2"
"2018-09-10","67.27","2"
"2018-09-17","156.21999999999997","2"
"2018-09-24","132.48","2"
"2018-10-01","58.55","2"
"2018-10-08","59.050000000000004","2"
"2018-10-15","53.099999999999994","2"
"2018-10-22","50.169999999999995","2"
"2018-10-29","52.209999999999994","2"
"2018-11-05","74.56","2"
"2018-11-12","48.650000000000006","2"
"2018-11-19","50.15","2"
"2018-11-26","47.03","2"
"2018-12-03","58.12","2"
"2018-12-10","30.449999999999996","2"
"2018-12-17","87.99","2"
"2018-12-24","30.820000000000004","2"
"2018-12-31","87.21000000000001","2"
"2019-01-07","49.8","2"
"2019-01-14","86.6","2"
"2019-01-21","116.0","2"
"2019-01-28","134.0","2"
"2019-02-04","108.0","2"
"2019-02-11","77.0","2"
"2019-02-18","55.49999999999999","2"
"2019-02-25","52.6","2"
"2019-03-04","60.4","2"
"2019-03-11","39.6","2"
"2019-03-18","42.9","2"
"2019-03-25","123.0","2"
"2019-04-01","87.0","2"
"2019-04-08","65.0","2"
"2019-04-15","56.0","2"
"2019-04-22","74.5","2"
"2019-04-29","90.5","2"
"2019-05-06","74.6","2"
"2019-05-13","60.17999999999999","2"
"2019-05-20","70.92","2"
"2019-05-27","72.74","2"
"2019-06-03","71.0","2"
"2019-06-10","74.0","2"
"2019-06-17","55.0","2"
"2019-06-24","65.0","2"
"2019-07-01","53.0","2"
"2019-07-08","58.5","2"
"2019-07-15","62.0","2"
"2019-07-22","53.0","2"
"2019-07-29","38.0","2"
"2019-08-05","43.5","2"
"2019-08-12","51.5","2"
"2019-08-19","45.5","2"
"2019-08-26","44.5","2"
"2019-09-02","52.0","2"
"2019-09-09","71.5","2"
"2019-09-16","59.0","2"
"2019-09-23","64.0","2"
"2019-09-30","62.5","2"
"2019-10-07","36.5","2"
"2019-10-14","41.5","2"
"2019-10-21","45.0","2"
"2019-10-28","39.5","2"
"2019-11-04","79.0","2"
"2019-11-11","82.5","2"
"2019-11-18","62.5","2"
"2019-11-25","73.0","2"
"2019-12-02","48.5","2"
"2019-12-09","45.5","2"
"2019-12-16","83.0","2"
"2019-12-23","47.0","2"
"2019-12-30","61.0","2"
"2020-01-06","58.0","2"
"2020-01-13","61.5","2"
"2020-01-20","65.5","2"
"2020-01-27","66.5","2"
"2020-02-03","91.5","2"
"2020-02-10","60.5","2"
"2020-02-17","44.25","2"
"2020-02-24","54.5","2"
"2020-03-02","70.0","2"
"2020-03-09","204.0","2"
"2020-03-16","160.0","2"
"2020-03-23","78.5","2"
"2020-03-30","91.0","2"
"2020-04-06","88.5","2"
"2020-04-13","126.0","2"
"2020-04-20","135.5","2"
"2020-04-27","135.5","2"
"2020-05-04","70.5","2"
"2020-05-11","71.0","2"
"2020-05-18","126.5","2"
"2020-05-25","86.0","2"
"2020-06-01","88.5","2"
"2020-06-08","82.5","2"
"2020-06-15","82.5","2"
"2020-06-22","72.25","2"
"2020-06-29","74.75","2"
"2020-07-06","88.0","2"
"2020-07-13","54.5","2"
"2020-07-20","63.0","2"
"2020-07-27","51.0","2"
"2020-08-03","51.0","2"
"2020-08-10","62.0","2"
"2020-08-17","18.0","2"
"2017-08-21","47.47","3"
"2017-08-28","172.09","3"
"2017-09-04","152.30999999999997","3"
"2017-09-11","158.22","3"
"2017-09-18","151.43","3"
"2017-09-25","167.38000000000002","3"
"2017-10-02","155.64","3"
"2017-10-09","151.22","3"
"2017-10-16","185.39","3"
"2017-10-23","126.44","3"
"2017-10-30","133.07","3"
"2017-11-06","154.12000000000003","3"
"2017-11-13","151.57999999999998","3"
"2017-11-20","140.58","3"
"2017-11-27","145.59","3"
"2017-12-04","127.42","3"
"2017-12-11","133.48999999999998","3"
"2017-12-18","147.62000000000003","3"
"2017-12-25","91.14000000000001","3"
"2018-01-01","153.94","3"
"2018-01-08","125.0","3"
"2018-01-15","145.0","3"
"2018-01-22","166.0","3"
"2018-01-29","167.0","3"
"2018-02-05","130.0","3"
"2018-02-12","148.0","3"
"2018-02-19","148.52","3"
"2018-02-26","164.54","3"
"2018-03-05","124.66","3"
"2018-03-12","115.69999999999999","3"
"2018-03-19","132.52","3"
"2018-03-26","128.57","3"
"2018-04-02","146.56","3"
"2018-04-09","134.91","3"
"2018-04-16","138.0","3"
"2018-04-23","125.0","3"
"2018-04-30","119.0","3"
"2018-05-07","138.0","3"
"2018-05-14","138.0","3"
"2018-05-21","122.0","3"
"2018-05-28","108.0","3"
"2018-06-04","210.0","3"
"2018-06-11","293.0","3"
"2018-06-18","417.0","3"
"2018-06-25","213.0","3"
"2018-07-02","151.5","3"
"2018-07-09","181.5","3"
